name,latitude,longitude
ABATE TITTA,38.5866683865009,15.914711610027
ABITUSO,38.7562362077523,16.3565334611271
ACONA,38.6121773861984,16.209858336683
ACONI,38.5964385776708,16.2598317555029
ACQUA FREDDA,38.6139258055896,15.9035027890445
ACQUA RUGIADA,38.4502288102536,16.2703605131317
ACQUABIANCA,38.5366101652374,16.1972212380793
ACQUACALDA,38.6341768911763,16.1625143955697
ACQUAFREDDA,38.6199760316269,16.2822748032002
ACQUANGI,38.780493479688,16.3212128433733
ACQUARO,38.5556853538957,16.1903877675965
ACQUE BIANCHE,38.4888753600787,16.3387210445792
ACQUE MURATE,38.4904177345208,16.3519354079112
"AEROPORTO DI VIBO VALENTIA ""LUIGI RAZZA""",38.6383747274778,16.0442037179255
AGAZZI,38.7869089530209,16.3363100822808
AGRELLI,38.4343028356583,16.3511172921141
AGROMOLARA,38.4620911040829,16.3372973539911
AGUGLIA,38.6439674138761,16.3007767463309
AGUGLIA,38.6639030387391,16.3198604470482
AIA DELLE CHIUSELLE,38.7337702336877,16.2708348741089
AIA DI TUCCIO,38.7278834971673,16.2718809563885
ALAFITA,38.6708240053627,15.9187242841589
ALBANI,38.4523547656644,16.3494140669684
ALENCI,38.6272075484962,16.2485491236373
ALTIPIANO DEL PORO,38.6051349942103,15.9812576912914
AMATO,38.5933663897566,16.0273838672323
AMPINO,38.5598485769831,16.0914774124843
ANGELELLA,38.4730124155001,16.2883219438648
ANGIOLELLA,38.6644505756437,16.3437888122127
ANGITOLELLA,38.7225438839239,16.3353518492053
ANGRI,38.6709727047696,16.2772298301561
ANICITO,38.6403058192343,15.979301213089
ANNIBALE,38.5402843923327,16.2483642775516
ARAMONI,38.6263796938769,15.9468422145583
ARCIDIACONO,38.7688753880599,16.2047311532929
ARCO,38.6950497854866,16.2413682629315
ARCOLEO,38.5938977100953,16.1766998932816
ARENA,38.5627961612481,16.2096611432952
ARENELLA,38.4913931753746,16.2654531986126
ARIOLA,38.5685298200635,16.2556481493505
ARMO,38.6634676817531,16.1438853735897
ARRUGGIATO,38.5114374106666,16.2585439174647
ARTESE,38.6099000466652,15.9170853681748
ARVO,38.5945633100166,16.3417842756442
ARZONA,38.621300167945,16.0439330867849
ASCUTO,38.5977064682796,16.2398388997186
ASMONIO,38.6072007625552,16.1447026119365
ATTESIA,38.5594373405507,16.2739793318534
AZIENDA BRACHO,38.53110075566,15.9729660593755
B. DI PRATTARI,38.71913443462,16.2659861089676
B. DOMITO,38.4600873392393,16.3772367093698
B.NE DELLE TINE,38.5862802225072,16.3699196668551
B.NE ZINZOLO,38.7034003644512,15.9744456398541
BACOLOPANE,38.8049656232205,16.2858722616407
BADIA,38.5649890564753,15.9571698450359
BADILE,38.610497961778,16.197035646559
BAGNERIA,38.6593696243968,15.8607554732033
BANDIERA,38.6091733432723,16.3032950396855
BANDINO,38.6097299323561,15.9984217900078
BARBALACONI,38.6346438385023,15.8726153656394
BARILLA,38.5647474354158,15.9722718008617
BARONE,38.6442198567675,16.2308156858006
BARONIA,38.605976758179,15.8918494855337
BARONIA,38.7139001357443,16.0740677871148
BATIA,38.6924908379702,16.3074847258271
BATTIFOGLIO,38.6634765700033,16.1073815116934
BAUSA,38.6968683444681,15.9988502119991
BELLARDINA,38.5065076025018,16.2408538243512
BELLINO,38.5607648961889,16.3367483365402
BELUSCIA,38.6598768655074,15.8542563174488
BENEFICIO,38.6375379138149,16.1106014612885
BERIGLIANA,38.4798088735945,16.2898071801311
BETTARELLA,38.6933759175886,16.0468081864305
BEVILACQUA,38.8212954321479,16.2947014415961
BIVIO CESSANITI,38.6436390643182,16.0440273234696
BIVIO IANNI,38.5213391979949,15.9946298440102
BIVIO S. MARCO,38.6672390599916,16.0175880655399
BIVONA,38.7101207867918,16.1015681152676
BOCCA D'ASSI,38.5717682911422,16.403678680012
BOMBULERO,38.5686874974989,16.1444700249085
BONDANZA,38.6160657138136,16.2429689884585
BONI,38.7871818482598,16.2514499597595
BONIFICIO,38.5626326081792,16.0481569046635
BORDILA,38.6928407555628,15.9545478747665
BORDILA,38.6897291381767,15.9471132800269
BORG.A DI PORTO SALVO,38.7054310859352,16.0836474525351
BOSCO ARCHIFORO,38.537860593074,16.3482796159497
BOSCO BIANCHI,38.7999262919482,16.2990935361463
BOSCO DELLA CASTAGNARA,38.801287768182,16.2426913974104
BOSCO DELLE CENTO FONTANE,38.6843656540533,16.2646028663621
BOSCO DI MONTE CUCCO,38.6594978827729,16.3348237545197
BOSCO DI S. GIOVANNI,38.6327182507533,16.1803903042776
BOSCO DI S. MARIA,38.5512257061697,16.3076760666921
BOSCO FIEGO,38.6013412423741,16.2480203977443
BOSCO LACINA,38.569580520223,16.4199469651847
BOSCO MILETO,38.529013060734,16.0119440465091
BOSCO REGGIO,38.5098238827427,16.2159424511053
BOSCO REGGIO,38.5737939662709,16.411328755876
BOSCO RUSSIA,38.8143731795343,16.2891512217363
BOSCO SCALA,38.6777954779728,16.2563251607315
BRATTIRO,38.6437526195873,15.8872616165125
BRIATICO,38.7257107071405,16.0324400349289
BRIATICO VECCHIO,38.7068096082389,16.0226455370594
BRIGA,38.5684968613704,16.1061860344948
BRIGLIA,38.6073258318968,15.981138227809
BRIVADI,38.6368882647787,15.8566949349794
BROGNATURO,38.6025475118014,16.3409912857703
BRUNELLO,38.5956663938931,16.3578690551391
BRUNIA,38.6806371283632,16.0393452739199
BRUNIA,38.664397911497,16.1362797594401
BRUNO GRILLO,38.5113039844881,16.303684804863
BRUVIERE,38.7378459398363,16.2984742198091
BUFFALARIANA,38.76191412738,16.2138791564872
BUNDA,38.6386369768428,16.2750126557766
BUTTINA,38.6093307203052,16.2634797121273
ACERO C.,38.4696737463024,16.3835171723454
ADENCI C.,38.7047426538105,16.1976279994511
AGRILLUSA C.,38.6426270414852,15.9743574220163
AIA BISSATA C.,38.5991667696259,15.9663970769322
ALENTA C.,38.7148708185895,16.1985676347296
ALIVARI C.,38.6167531145958,15.9526540988728
ANELLO C.,38.7677301534805,16.2777678589575
ANGRO C.,38.6173533346902,16.2472985476818
ARCINA C.,38.5999614942553,16.2404863225242
C. AREA DEL BARONE,38.5383645117571,16.0070380410978
C. ARIA,38.7906454261029,16.231637358424
